FOI Number,FOI Date (Machine),FOI Date (Human),FOI Title,FOI URL,PDF INDEX,PDF COUNT,PDF URL,Processed
4471-2023,2023-07-17T12:00:00Z,17 July 2023,FOI 4471 - CHHP Recommendation and Advice referred to in ANAO Audit Report,https://www.health.gov.au/resources/foi-disclosure-log/foi-4471-chhp-recommendation-and-advice-referred-to-in-anao-audit-report,1,1,https://www.health.gov.au/sites/default/files/2023-08/foi-4471---chhp-recommendation-and-advice-referred-to-in-anao-audit-report.pdf,Downloaded
4457-2023,2023-06-30T12:00:00Z,30 June 2023,FOI 4457 – Document released,https://www.health.gov.au/resources/foi-disclosure-log/foi-4457-document-released,1,1,https://www.health.gov.au/sites/default/files/2023-07/foi-4457-document-released.pdf,Downloaded
4372-2023,2023-06-29T12:00:00Z,29 June 2023,FOI 4372 – Release of documents – Endometriosis and Pelvic Pain GP Clinics,https://www.health.gov.au/resources/foi-disclosure-log/foi-4372-release-of-documents-endometriosis-and-pelvic-pain-gp-clinics,1,1,https://www.health.gov.au/sites/default/files/2023-06/foi-4372-release-of-documents-endometriosis-and-pelvic-pain-gp-clinics.pdf,Downloaded
4315-2023,2023-06-28T12:00:00Z,28 June 2023,FOI 4315 – Medical Research Future Fund Audit,https://www.health.gov.au/resources/foi-disclosure-log/foi-4315-medical-research-future-fund-audit,1,1,https://www.health.gov.au/sites/default/files/2023-07/foi-4315-medical-research-future-fund-audit.pdf,Downloaded
4425-2023,2023-06-26T12:00:00Z,26 June 2023,FOI 4425 – Document released,https://www.health.gov.au/resources/foi-disclosure-log/foi-4425-document-released,1,1,https://www.health.gov.au/sites/default/files/2023-06/foi-4425-document-released.pdf,Downloaded
4299-2023,2023-06-23T12:00:00Z,23 June 2023,FOI 4299 – Released Documents,https://www.health.gov.au/resources/foi-disclosure-log/foi-4299-released-documents,1,1,https://www.health.gov.au/sites/default/files/2023-06/foi-4299-released-documents_0.pdf,Downloaded
4446-2023,2023-06-21T12:00:00Z,21 June 2023,FOI 4446 - Documents released,https://www.health.gov.au/resources/foi-disclosure-log/foi-4446-documents-released,1,1,https://www.health.gov.au/sites/default/files/2023-06/foi-4446---documents-released.pdf,Downloaded
4328-2023,2023-06-20T12:00:00Z,20 June 2023,FOI 4328 – Released Documents – Communications regarding PFAS,https://www.health.gov.au/resources/foi-disclosure-log/foi-4328-released-documents-communications-regarding-pfas,1,1,https://www.health.gov.au/sites/default/files/2023-06/foi-4328-released-documents-communications-regarding-pfas.pdf,Downloaded
4274-2023,2023-06-19T12:00:00Z,19 June 2023,FOI 4274 – release documents – COVID-19 vaccine mandates for ground and aircrew staff,https://www.health.gov.au/resources/foi-disclosure-log/foi-4274-release-documents-covid-19-vaccine-mandates-for-ground-and-aircrew-staff,1,1,https://www.health.gov.au/sites/default/files/2023-06/foi-4274-release-documents-covid-19-vaccine-mandates-for-ground-and-aircrew-staff.pdf,Downloaded
4296-2023,2023-06-14T12:00:00Z,14 June 2023,FOI 4296 – release documents – Grant Agreement #13565,https://www.health.gov.au/resources/foi-disclosure-log/foi-4296-release-documents-grant-agreement-13565,1,1,https://www.health.gov.au/sites/default/files/2023-06/foi-4296-release-documents-grant-agreement-13565.pdf,Downloaded
4447-2023,2023-06-12T12:00:00Z,12 June 2023,FOI 4447 – Document released,https://www.health.gov.au/resources/foi-disclosure-log/foi-4447-document-released,1,1,https://www.health.gov.au/sites/default/files/2023-06/foi-4447-document-released.pdf,Downloaded
3611-2023,2023-06-06T12:00:00Z,6 June 2023,FOI 4366 – Released Document – Email to Minister Butler’s Office with quick points on gender dysphoria,https://www.health.gov.au/resources/foi-disclosure-log/foi-4366-released-document-email-to-minister-butlers-office-with-quick-points-on-gender-dysphoria,1,1,https://www.health.gov.au/sites/default/files/2023-06/foi-4366-released-document-email-to-minister-butler-s-office-with-quick-points-on-gender-dysphoria.pdf,Downloaded
4292-2023,2023-05-29T12:00:00Z,29 May 2023,FOI 4151 – release documents – Proposal by Pioneer Aboriginal Corporation,https://www.health.gov.au/resources/foi-disclosure-log/foi-4151-release-documents-proposal-by-pioneer-aboriginal-corporation,1,1,https://www.health.gov.au/sites/default/files/2023-05/foi-4151-release-documents-proposal-by-pioneer-aboriginal-corporation.pdf,Downloaded
